,Plate Read,Concentration,Compound,Avg Fluorescence,Standard Deviation,Avg Time
1089,46,10^-09,Compound A,3091.57925,181.47159662671635,69.64235
1090,46,10^-09,Compound B,3904.5462500000003,269.5670517198083,69.5823
1091,46,10^-09,Compound C,5655.20925,609.9593863694982,69.59775
1092,46,10^-10,Compound A,3131.4002499999997,438.01615517495657,69.48505
1093,46,10^-10,Compound B,3726.5350000000003,358.08096787178704,69.4243
1094,46,10^-10,Compound C,5099.924500000001,209.84863088502917,69.44274999999999
1095,46,10^-11,Compound A,3004.8375,179.31216345523944,69.32485
1096,46,10^-11,Compound B,3494.63875,173.37657554847289,69.25485
1097,46,10^-11,Compound C,4588.9835,154.22304096880723,69.29214999999999
1098,46,10^-12,Compound A,3356.6155,296.7329245550654,69.1337
1099,46,10^-12,Compound B,3299.4945,403.33702124526343,69.10040000000001
1100,46,10^-12,Compound C,4534.150750000001,258.2202744846169,69.13565
1101,46,Control,Compound A,3352.218,216.88981076420845,68.97094999999999
1102,46,Control,Compound B,3191.7172499999997,326.9415538628489,68.92175
1103,46,Control,Compound C,3850.2685,181.06763951351334,68.91715
1104,47,10^-06,Compound A,7655.45925,1365.120784717938,71.6367
1105,47,10^-06,Compound B,10202.7425,431.70813795315627,71.59695
1106,47,10^-06,Compound C,12984.3055,1948.428716999327,71.58955
1107,47,10^-07,Compound A,5581.23625,743.8828164056373,71.48149999999998
1108,47,10^-07,Compound B,9770.2655,470.3895265717082,71.4191
1109,47,10^-07,Compound C,10786.24125,1767.9021068144405,71.42955
1110,47,10^-08,Compound A,5180.2837500000005,1624.452492497369,71.3019
1111,47,10^-08,Compound B,5884.591,204.99721697785364,71.26685
1112,47,10^-08,Compound C,6471.909000000001,642.8065116746499,71.27664999999999
1113,47,10^-09,Compound A,3098.99875,180.03740861900985,71.13605
1114,47,10^-09,Compound B,3905.2692500000003,266.5778222688073,71.09635
1115,47,10^-09,Compound C,5677.4574999999995,665.4366346084357,71.08935
1116,47,10^-10,Compound A,3110.0905,438.94709680970635,70.9641
1117,47,10^-10,Compound B,3730.3807500000003,383.9950271287157,70.9391
1118,47,10^-10,Compound C,5139.9925,227.73592813532557,70.92935
